dialog.file<-key;dialog.actor->actor.id;dialog.who->character.id;dialog.from->character.id;dialog.to->character.id;dialog.text
DIA_LIESEL_15_00.WAV;15;Liesel;Bezimienny;Bezimienny;Meeee!
DIA_WISP_15_00.WAV;15;Wisp;Bezimienny;Bezimienny;(bzzz)
DIA_ADDON_VATRAS_LASTWARNING_ADD_05_00.WAV;5;Vatras;Vatras;Bezimienny;Co uczyniłeś, nieszczęśniku?
DIA_ADDON_VATRAS_LASTWARNING_ADD_05_01.WAV;5;Vatras;Vatras;Bezimienny;W zakonie wody wiele razy ostrzegaliśmy cię, byś wyrzekł się zła.
DIA_ADDON_VATRAS_LASTWARNING_ADD_05_02.WAV;5;Vatras;Vatras;Bezimienny;Doszły mnie jednak słuchy, że opuściłeś ścieżkę wszystkich, którzy podtrzymują równowagę.
DIA_ADDON_VATRAS_LASTWARNING_ADD_05_03.WAV;5;Vatras;Vatras;Bezimienny;Wędrowałeś, mordując i łupiąc. Masz na sumieniu straszliwe zbrodnie.
DIA_ADDON_VATRAS_LASTWARNING_ADD_05_04.WAV;5;Vatras;Vatras;Bezimienny;Z twojej ręki zginęła niezliczona liczba niewinnych ludzi!
DIA_ADDON_VATRAS_LASTWARNING_ADD_05_05.WAV;5;Vatras;Vatras;Bezimienny;A teraz sprzymierzyłeś się z siłami ciemności.
DIA_ADDON_VATRAS_PISSEDOFFPERM_ADD_05_00.WAV;5;Vatras;Vatras;Bezimienny;Odtąd nie możesz liczyć na moje poparcie.
DIA_ADDON_VATRAS_PISSEDOFFPERM_ADD_05_01.WAV;5;Vatras;Vatras;Bezimienny;Odejdź. Dla mnie jesteś teraz wyrzutkiem.
DIA_ADDON_MYXIR_TEACHREQUEST_15_00.WAV;15;Myxir;Bezimienny;Myxir;Naucz mnie tego dziwnego języka.
DIA_ADDON_MYXIR_TEACHL1_12_00.WAV;12;Myxir;Myxir;Bezimienny;Zacznijmy od czegoś prostego. Nauczę cię języka wieśniaków.
DIA_ADDON_MYXIR_TEACHL1_12_01.WAV;12;Myxir;Myxir;Bezimienny;Teksty pisane w języku wieśniaków traktują zwykle o sprawach przyziemnych: pracy, miłości, zaopatrzeniu czy żywności.
DIA_ADDON_MYXIR_TEACHL1_12_02.WAV;12;Myxir;Myxir;Bezimienny;Język ten był powszechnie wykorzystywany w mieście. Tak więc będziesz w stanie zrozumieć większość tekstów, które tam znajdziesz.
DIA_ADDON_MYXIR_TEACHL2_12_00.WAV;12;Myxir;Myxir;Bezimienny;Znasz już język wieśniaków. Język wojowników jest nieco trudniejszy.
DIA_ADDON_MYXIR_TEACHL2_12_01.WAV;12;Myxir;Myxir;Bezimienny;Teksty pisane w języku wojowników dotyczą zwykle wojny i broni. Nauczysz się wielu przydatnych rzeczy.
DIA_ADDON_MYXIR_TEACHL3_12_00.WAV;12;Myxir;Myxir;Bezimienny;Język kapłanów jest bardzo trudny do zrozumienia, ale chętnie przekażę ci jego zasady.
DIA_ADDON_MYXIR_TEACHL3_12_01.WAV;12;Myxir;Myxir;Bezimienny;W języku kapłanów spisane są wszystkie święte pisma objaśniające historię i magię budowniczych.
DIA_ADDON_MYXIR_TEACHL3_12_02.WAV;12;Myxir;Myxir;Bezimienny;Każdy z tych tekstów to prawdziwy skarb, o ile ktoś zrozumie ich znaczenie.
